,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
0,"Breaking News: President Jair Bolsonaro of Brazil has tested positive for the coronavirus after months of dismissing its seriousness. More than 65,000 Brazilians have died. https://t.co/oNfTNd79SH",196,1280524823576395779,nytimes,The New York Times,New York City,,2020-07-07 15:31:23,SocialFlow,32455,11979,,,
1,"A homophobic,  fascist and COVID denier, president #Bolsonaro of Brazil tests positive. He helped spread the disease in Brazil  killing so many. Karma.",151,1280400659821391872,LesleyAnnBrandt,📎Lesley-Ann Brandt,"Los Angeles, CA",,2020-07-07 07:18:00,Twitter for iPhone,11373,2443,,,
2,Glad to hear President Bolsonaro of Brazil is on the correct protocol and is already doing better!  I hope the media will report his recovery. https://t.co/O9hdUA411o,166,1280868807226150913,drdavidsamadi,Dr. David Samadi,"Manhattan, New York",,2020-07-08 14:18:15,Twitter for iPhone,1301,608,,,
3,Several of Brazil’s largest firms expressed concerns over deforestation in the Amazon rainforest following global investor demands that President Bolsonaro end the destruction or risk divestment https://t.co/TSx0w0elOJ https://t.co/VyCdtuDAl2,242,1280997367236358144,IgnoranceDenied,drpdedred,Everywhere,,2020-07-08 22:49:06,Twitter Web App,0,3,,,
4,The Brazilian Press Association has said it will file a lawsuit in Brazil's Supreme Court against President Jair Bolsonaro over possibly exposing members of the media to Covid-19 https://t.co/vnM1xrlaRP,202,1280997235115716608,greenlkgrl,Patricia M,,,2020-07-08 22:48:35,Twitter for iPhone,0,177,,,
5,The Brazilian Press Association has said it will file a lawsuit in Brazil's Supreme Court against President Jair Bolsonaro over possibly exposing members of the media to Covid-19 https://t.co/c7MP585EyP,202,1280997234943889411,Kigogo2041,Kigogo TAASISI.2014🇰🇪,Back and forth to the Earth.,,2020-07-08 22:48:35,Twitter for Android,0,73,,,
6,"Unbelievable - Brazil's President Bolsonaro has vetoed provisions of a law that obligated the Federal government to provide drinking water, disinfectants and a guarantee of hospital beds to Indigenous communities amid the COVID-19 pandemic. https://t.co/2Wv4c2GEFY",264,1280997225552916481,nisar__adil,ꓷAЯK,"Karachi Province, Pakistan ",,2020-07-08 22:48:33,Twitter for Android,0,0,,,
7,"The President of Brazil, Jair Bolsonaro, was diagnosed with COVID. He is being treated with hydroxychloroquine and improved his health condition in three days. This may save many lives! https://t.co/ZQgBI9hrYt",209,1280997194871570432,foadfrog86,FOADFROG86,"London, Ontario, Canada",,2020-07-08 22:48:25,Twitter Web App,0,147,,,
8,"The President of Brazil, Jair Bolsonaro, was diagnosed with COVID. He is being treated with hydroxychloroquine and improved his health condition in three days. This may save many lives! https://t.co/ZQgBI9hrYt",209,1280997118971265026,JanCookin,J. L. Wile,,,2020-07-08 22:48:07,Twitter for iPhone,0,147,,,
9,"The President of Brazil, Jair Bolsonaro, was diagnosed with COVID. He is being treated with hydroxychloroquine and improved his health condition in three days. This may save many lives! https://t.co/ZQgBI9hrYt",209,1280997094875033600,KhianaKim,🇺🇸Khiana🇺🇸,"California, USA",,2020-07-08 22:48:01,Twitter for iPhone,0,147,,,
10,The Brazilian Press Association has said it will file a lawsuit in Brazil's Supreme Court against President Jair Bolsonaro over possibly exposing members of the media to Covid-19 https://t.co/vnM1xrlaRP,202,1280997052290228224,yaya17017,Patsy OrozcoGonzales,"California, USA",,2020-07-08 22:47:51,Twitter for iPhone,0,177,,,
11,"""Wearing masks is a faggot thing"" -- Brazil President @JairBolsonaro, said to aides and visitors who arrived to his office wearing masks prior to his becoming sick with a fever and body aches and then testing positive for COVID-19 at the age of 65:  https://t.co/kkqyqhWd2t",273,1280996918730952704,LilyKermit,🖖🏼㍍㍍ Lily ㍍㍍🖖🏼🍊以外欲しい,"Tokyo, JAPAN",,2020-07-08 22:47:19,Twitter for iPhone,0,854,,,
12,Facebook suspended a network of social media accounts it said were used to spread divisive political messages online by employees of Brazilian President Jair Bolsonaro and two of his sons https://t.co/EmptHtLbop,211,1280996905837899783,LodKJr,Lod,São Paulo,,2020-07-08 22:47:16,Twitter for Android,0,199,,,
13,"""Brazil’s President Jair Bolsonaro on Wednesday vetoed provisions of a law that obligated the federal government to provide drinking water, disinfectants and a guarantee of hospital beds to indigenous communities amid the COVID-19 pandemic.""  https://t.co/y7ZjkHZN6k",266,1280996816817999881,kathylemay,Kathy LeMay,"Massachusetts, USA",,2020-07-08 22:46:55,Twitter Web App,0,0,,,
14,The Brazilian Press Association has said it will file a lawsuit in Brazil's Supreme Court against President Jair Bolsonaro over possibly exposing members of the media to Covid-19 https://t.co/vnM1xrlaRP,202,1280996812896247808,brokelink,Jami Lockamy,In the Desert,,2020-07-08 22:46:54,Twitter for Android,0,177,,,
15,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280400389213487104,Tru_Visioner,TRU.,"Geneva, Switzerland",,2020-07-07 07:16:56,Twitter for iPhone,0,894,,,
16,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280399334715121664,ThisisKiyemis,Kiyémis,"Paris, France",,2020-07-07 07:12:44,Twitter for iPhone,0,176,,,
17,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280398929134321665,AfrikaWinslet,Afrika Winslet 💜🎗️🌊,L'Hospitalet de Llobregat,,2020-07-07 07:11:08,Twitter for Android,0,176,,,
